state,state_code,district,indicator_no,indicator,nfhs5_value,nfhs4_value,change_nfhs4_to_nfhs5
Andaman and Nicobar Island,AN,Nicobar,48,48. Births in a public health facility that were delivered by caesarean section (%),10.7,4.8,5.9
Andaman and Nicobar Island,AN,Nicobar,49,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),64.2,45.5,18.7
Andaman and Nicobar Island,AN,Nicobar,50,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),94.1,,
Andaman and Nicobar Island,AN,Nicobar,51,51. Children age 12-23 months who have received BCG (%),80.4,61.1,19.3
Andaman and Nicobar Island,AN,Nicobar,52,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),69.1,56.8,12.3
Andaman and Nicobar Island,AN,Nicobar,53,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),71.9,55.9,16.0
Andaman and Nicobar Island,AN,Nicobar,54,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),67.3,46.9,20.4
Andaman and Nicobar Island,AN,Nicobar,55,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),20.7,,
Andaman and Nicobar Island,AN,Nicobar,56,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),3.1,,
Andaman and Nicobar Island,AN,Nicobar,57,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),68.6,44.4,24.2
Andaman and Nicobar Island,AN,Nicobar,58,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),94.9,79.2,15.7
Andaman and Nicobar Island,AN,Nicobar,59,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0,0.0
Andaman and Nicobar Island,AN,Nicobar,60,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0,0.0
Andaman and Nicobar Island,AN,Nicobar,61,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.7,5.1,0.6
Andaman and Nicobar Island,AN,Nicobar,62,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,
Andaman and Nicobar Island,AN,Nicobar,63,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,
Andaman and Nicobar Island,AN,Nicobar,64,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,
Andaman and Nicobar Island,AN,Nicobar,65,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8,1.4,0.4
Andaman and Nicobar Island,AN,Nicobar,66,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),85.7,,
Andaman and Nicobar Island,AN,Nicobar,67,67. Children under age 3 years breastfed within one hour of birth15 (%),55.4,34.9,20.5
Andaman and Nicobar Island,AN,Nicobar,68,68. Children under age 6 months exclusively breastfed16 (%),,,
Andaman and Nicobar Island,AN,Nicobar,69,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,,
Andaman and Nicobar Island,AN,Nicobar,70,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",19.4,10.2,9.2
