state,state_code,district,indicator_no,indicator,nfhs5_value,nfhs4_value,change_nfhs4_to_nfhs5
Assam,AS,Golaghat,32,32. Mothers who had an antenatal check-up in the first trimester (%),76.1,52.9,23.2
Assam,AS,Golaghat,33,33. Mothers who had at least 4 antenatal care visits (%),65.7,62.5,3.2
Assam,AS,Golaghat,34,34. Mothers whose last birth was protected against neonatal tetanus9 (%),97.7,94.2,3.5
Assam,AS,Golaghat,35,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.7,44.6,19.1
Assam,AS,Golaghat,36,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),26.2,5.4,20.8
Assam,AS,Golaghat,37,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,99.3,0.7
Assam,AS,Golaghat,38,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.5,78.3,-4.8
Assam,AS,Golaghat,39,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),5186.0,2449.0,2737.0
Assam,AS,Golaghat,40,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,2.7,
Assam,AS,Golaghat,41,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.5,,
Assam,AS,Golaghat,42,42. Institutional births (%),90.4,88.4,2.0
Assam,AS,Golaghat,43,43. Institutional births in public facility (%),81.4,75.4,6.0
Assam,AS,Golaghat,44,44. Home births that were conducted by skilled health personnel10 (%),2.2,1.5,0.7
Assam,AS,Golaghat,45,45. Births attended by skilled health personnel10 (%),92.1,89.6,2.5
Assam,AS,Golaghat,46,46. Births delivered by caesarean section (%),22.6,11.2,11.4
Assam,AS,Golaghat,47,47. Births in a private health facility that were delivered by caesarean section (%),,55.6,
Assam,AS,Golaghat,48,48. Births in a public health facility that were delivered by caesarean section (%),19.6,5.3,14.3
Assam,AS,Golaghat,49,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),72.4,67.9,4.5
Assam,AS,Golaghat,50,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),75.9,80.0,-4.1
Assam,AS,Golaghat,51,51. Children age 12-23 months who have received BCG (%),92.6,90.9,1.7
Assam,AS,Golaghat,52,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),79.7,73.6,6.1
Assam,AS,Golaghat,53,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.9,83.7,1.2
Assam,AS,Golaghat,54,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.5,91.0,-3.5
Assam,AS,Golaghat,55,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.4,,
Assam,AS,Golaghat,56,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),47.2,,
Assam,AS,Golaghat,57,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.8,77.4,5.4
Assam,AS,Golaghat,58,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),61.1,78.0,-16.9
Assam,AS,Golaghat,59,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),95.5,100.0,-4.5
Assam,AS,Golaghat,60,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.2,0.0,2.2
Assam,AS,Golaghat,61,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.0,1.0,7.0
Assam,AS,Golaghat,62,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,
Assam,AS,Golaghat,63,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,
Assam,AS,Golaghat,64,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,
Assam,AS,Golaghat,65,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.1,0.6,3.5
Assam,AS,Golaghat,66,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),54.4,,
Assam,AS,Golaghat,67,67. Children under age 3 years breastfed within one hour of birth15 (%),53.6,80.4,-26.8
Assam,AS,Golaghat,68,68. Children under age 6 months exclusively breastfed16 (%),,68.9,
Assam,AS,Golaghat,69,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,,
Assam,AS,Golaghat,70,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",4.8,10.9,-6.1
Assam,AS,Golaghat,71,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,
Assam,AS,Golaghat,72,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",4.4,10.4,-6.0
Assam,AS,Golaghat,73,73. Children under 5 years who are stunted (height-for-age)18 (%),26.3,32.6,-6.3
Assam,AS,Golaghat,74,74. Children under 5 years who are wasted (weight-for-height)18 (%),19.2,13.9,5.3
Assam,AS,Golaghat,75,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),5.4,6.5,-1.1
Assam,AS,Golaghat,76,76. Children under 5 years who are underweight (weight-for-age)18 (%),25.5,20.2,5.3
Assam,AS,Golaghat,77,77. Children under 5 years who are overweight (weight-for-height)20 (%),2.4,3.7,-1.3
Assam,AS,Golaghat,78,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),25.1,26.8,-1.7
Assam,AS,Golaghat,79,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),16.0,12.8,3.2
Assam,AS,Golaghat,80,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),51.2,,
Assam,AS,Golaghat,81,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),75.1,33.3,41.8
Assam,AS,Golaghat,82,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),77.2,46.0,31.2
Assam,AS,Golaghat,83,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),76.7,22.4,54.3
Assam,AS,Golaghat,84,84. All women age 15-49 years who are anaemic22 (%),77.2,45.5,31.7
Assam,AS,Golaghat,85,85. All women age 15-19 years who are anaemic22 (%),74.7,42.9,31.8
Assam,AS,Golaghat,86,86. Blood sugar level - high (141-160 mg/dl)23 (%),6.4,,
Assam,AS,Golaghat,87,87. Blood sugar level - very high (>160 mg/dl)23 (%),4.7,,
Assam,AS,Golaghat,88,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),11.6,,
Assam,AS,Golaghat,89,89. Blood sugar level - high (141-160 mg/dl)23 (%),6.7,,
Assam,AS,Golaghat,90,90. Blood sugar level - very high (>160 mg/dl)23 (%),6.6,,
Assam,AS,Golaghat,91,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),14.4,,
Assam,AS,Golaghat,92,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.7,,
Assam,AS,Golaghat,93,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.9,,
Assam,AS,Golaghat,94,94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.5,,
Assam,AS,Golaghat,95,95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.9,,
Assam,AS,Golaghat,96,96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.3,,
Assam,AS,Golaghat,97,97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.0,,
Assam,AS,Golaghat,98,98. Ever undergone a screening test for cervical cancer (%),0.2,,
Assam,AS,Golaghat,99,99. Ever undergone a breast examination for breast cancer (%),0.2,,
Assam,AS,Golaghat,100,100. Ever undergone an oral cavity examination for oral cancer (%),0.2,,
Assam,AS,Golaghat,101,101. Women age 15 years and above who use any kind of tobacco (%),21.6,,
Assam,AS,Golaghat,102,102. Men age 15 years and above who use any kind of tobacco (%),52.0,,
Assam,AS,Golaghat,103,103. Women age 15 years and above who consume alcohol (%),10.4,,
Assam,AS,Golaghat,104,104. Men age 15 years and above who consume alcohol (%),38.2,,
Assam,AS,Hailakandi,1,1. Female population age 6 years and above who ever attended school (%),81.5,75.9,5.6
Assam,AS,Hailakandi,2,2. Population below age 15 years (%),33.7,32.5,1.2
Assam,AS,Hailakandi,3,"3. Sex ratio of the total population (females per 1,000 males)",1054.0,962.0,92.0
Assam,AS,Hailakandi,4,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",951.0,963.0,-12.0
Assam,AS,Hailakandi,5,5. Children under age 5 years whose birth was registered with the civil authority (%),96.6,97.7,-1.1
Assam,AS,Hailakandi,6,6. Deaths in the last 3 years registered with the civil authority (%),60.3,,
Assam,AS,Hailakandi,7,7. Population living in households with electricity (%),91.2,55.7,35.5
Assam,AS,Hailakandi,8,8. Population living in households with an improved drinking-water source1 (%),41.2,51.5,-10.3
Assam,AS,Hailakandi,9,9. Population living in households that use an improved sanitation facility2 (%),60.0,36.1,23.9
Assam,AS,Hailakandi,10,10. Households using clean fuel for cooking3 (%),35.2,13.8,21.4
Assam,AS,Hailakandi,11,11. Households using iodized salt (%),97.6,99.8,-2.2
Assam,AS,Hailakandi,12,12. Households with any usual member covered under a health insurance/financing scheme (%),53.6,8.8,44.8
Assam,AS,Hailakandi,13,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.5,,
Assam,AS,Hailakandi,14,14. Women who are literate4 (%),82.2,,
Assam,AS,Hailakandi,15,15. Women with 10 or more years of schooling (%),25.3,20.9,4.4
Assam,AS,Hailakandi,16,16. Women age 20-24 years married before age 18 years (%),32.9,22.9,10.0
Assam,AS,Hailakandi,17,17. Births in the 5 years preceding the survey that are third or higher order (%),1.7,2.1,-0.4
Assam,AS,Hailakandi,18,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.4,11.2,-0.8
Assam,AS,Hailakandi,19,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),56.1,25.4,30.7
Assam,AS,Hailakandi,20,20. Any method6 (%),66.8,54.2,12.6
Assam,AS,Hailakandi,21,21. Any modern method6 (%),49.5,34.0,15.5
Assam,AS,Hailakandi,22,22. Female sterilization (%),4.1,5.7,-1.6
Assam,AS,Hailakandi,23,23. Male sterilization (%),0.0,0.0,0.0
Assam,AS,Hailakandi,24,24. IUD/PPIUD (%),4.3,2.9,1.4
Assam,AS,Hailakandi,25,25. Pill (%),25.0,20.6,4.4
Assam,AS,Hailakandi,26,26. Condom (%),12.8,4.3,8.5
Assam,AS,Hailakandi,27,27. Injectables (%),2.2,0.0,2.2
Assam,AS,Hailakandi,28,28. Total unmet need7 (%),8.6,16.6,-8.0
Assam,AS,Hailakandi,29,29. Unmet need for spacing7 (%),4.2,4.4,-0.2
Assam,AS,Hailakandi,30,30. Health worker ever talked to female non-users about family planning (%),26.1,21.7,4.4
Assam,AS,Hailakandi,31,31. Current users ever told about side effects of current method8 (%),94.7,77.4,17.3
Assam,AS,Hailakandi,32,32. Mothers who had an antenatal check-up in the first trimester (%),77.6,49.6,28.0
Assam,AS,Hailakandi,33,33. Mothers who had at least 4 antenatal care visits (%),43.1,34.5,8.6
Assam,AS,Hailakandi,34,34. Mothers whose last birth was protected against neonatal tetanus9 (%),96.2,96.6,-0.4
Assam,AS,Hailakandi,35,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.0,24.3,4.7
Assam,AS,Hailakandi,36,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.3,6.7,1.6
Assam,AS,Hailakandi,37,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,96.6,3.4
Assam,AS,Hailakandi,38,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),68.8,39.3,29.5
Assam,AS,Hailakandi,39,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),5090.0,4082.0,1008.0
Assam,AS,Hailakandi,40,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.7,2.2,1.5
Assam,AS,Hailakandi,41,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.1,,
Assam,AS,Hailakandi,42,42. Institutional births (%),83.0,56.5,26.5
Assam,AS,Hailakandi,43,43. Institutional births in public facility (%),75.1,51.9,23.2
Assam,AS,Hailakandi,44,44. Home births that were conducted by skilled health personnel10 (%),2.2,0.5,1.7
Assam,AS,Hailakandi,45,45. Births attended by skilled health personnel10 (%),84.8,56.9,27.9
Assam,AS,Hailakandi,46,46. Births delivered by caesarean section (%),12.8,7.8,5.0
Assam,AS,Hailakandi,47,47. Births in a private health facility that were delivered by caesarean section (%),69.3,,
Assam,AS,Hailakandi,48,48. Births in a public health facility that were delivered by caesarean section (%),9.7,8.9,0.8
Assam,AS,Hailakandi,49,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),68.6,39.2,29.4
Assam,AS,Hailakandi,50,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),76.9,64.7,12.2
Assam,AS,Hailakandi,51,51. Children age 12-23 months who have received BCG (%),95.4,68.3,27.1
Assam,AS,Hailakandi,52,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),77.8,49.8,28.0
Assam,AS,Hailakandi,53,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),78.9,59.5,19.4
Assam,AS,Hailakandi,54,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.6,59.5,26.1
Assam,AS,Hailakandi,55,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.1,,
Assam,AS,Hailakandi,56,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),50.0,,
Assam,AS,Hailakandi,57,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),77.4,45.4,32.0
Assam,AS,Hailakandi,58,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.0,73.4,6.6
Assam,AS,Hailakandi,59,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0,0.0
Assam,AS,Hailakandi,60,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0,0.0
Assam,AS,Hailakandi,61,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.1,0.7,4.4
Assam,AS,Hailakandi,62,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,
Assam,AS,Hailakandi,63,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,
Assam,AS,Hailakandi,64,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,
Assam,AS,Hailakandi,65,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.9,0.0,4.9
Assam,AS,Hailakandi,66,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),45.4,,
Assam,AS,Hailakandi,67,67. Children under age 3 years breastfed within one hour of birth15 (%),24.4,31.3,-6.9
Assam,AS,Hailakandi,68,68. Children under age 6 months exclusively breastfed16 (%),50.9,45.1,5.8
Assam,AS,Hailakandi,69,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),25.8,,
Assam,AS,Hailakandi,70,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",1.7,6.5,-4.8
Assam,AS,Hailakandi,71,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,
Assam,AS,Hailakandi,72,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",1.6,6.3,-4.7
Assam,AS,Hailakandi,73,73. Children under 5 years who are stunted (height-for-age)18 (%),42.9,38.1,4.8
Assam,AS,Hailakandi,74,74. Children under 5 years who are wasted (weight-for-height)18 (%),22.2,19.1,3.1
Assam,AS,Hailakandi,75,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),8.2,6.3,1.9
Assam,AS,Hailakandi,76,76. Children under 5 years who are underweight (weight-for-age)18 (%),42.4,32.5,9.9
Assam,AS,Hailakandi,77,77. Children under 5 years who are overweight (weight-for-height)20 (%),2.0,1.6,0.4
Assam,AS,Hailakandi,78,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),25.7,33.2,-7.5
Assam,AS,Hailakandi,79,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),10.9,7.4,3.5
Assam,AS,Hailakandi,80,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),77.5,,
Assam,AS,Hailakandi,81,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),59.5,29.0,30.5
Assam,AS,Hailakandi,82,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),61.5,47.1,14.4
Assam,AS,Hailakandi,83,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),58.7,49.6,9.1
Assam,AS,Hailakandi,84,84. All women age 15-49 years who are anaemic22 (%),61.4,47.2,14.2
Assam,AS,Hailakandi,85,85. All women age 15-19 years who are anaemic22 (%),58.1,44.5,13.6
Assam,AS,Hailakandi,86,86. Blood sugar level - high (141-160 mg/dl)23 (%),7.1,,
Assam,AS,Hailakandi,87,87. Blood sugar level - very high (>160 mg/dl)23 (%),5.8,,
Assam,AS,Hailakandi,88,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),14.2,,
Assam,AS,Hailakandi,89,89. Blood sugar level - high (141-160 mg/dl)23 (%),9.0,,
Assam,AS,Hailakandi,90,90. Blood sugar level - very high (>160 mg/dl)23 (%),7.3,,
Assam,AS,Hailakandi,91,91. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),18.9,,
Assam,AS,Hailakandi,92,92. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.2,,
Assam,AS,Hailakandi,93,93. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.8,,
Assam,AS,Hailakandi,94,94. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.8,,
Assam,AS,Hailakandi,95,95. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.6,,
Assam,AS,Hailakandi,96,96. Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.6,,
Assam,AS,Hailakandi,97,97. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.4,,
Assam,AS,Hailakandi,98,98. Ever undergone a screening test for cervical cancer (%),0.0,,
Assam,AS,Hailakandi,99,99. Ever undergone a breast examination for breast cancer (%),0.0,,
Assam,AS,Hailakandi,100,100. Ever undergone an oral cavity examination for oral cancer (%),0.0,,
Assam,AS,Hailakandi,101,101. Women age 15 years and above who use any kind of tobacco (%),45.1,,
Assam,AS,Hailakandi,102,102. Men age 15 years and above who use any kind of tobacco (%),58.3,,
Assam,AS,Hailakandi,103,103. Women age 15 years and above who consume alcohol (%),3.1,,
Assam,AS,Hailakandi,104,104. Men age 15 years and above who consume alcohol (%),10.1,,
Assam,AS,Hojai,1,1. Female population age 6 years and above who ever attended school (%),79.1,,
Assam,AS,Hojai,2,2. Population below age 15 years (%),27.5,,
Assam,AS,Hojai,3,"3. Sex ratio of the total population (females per 1,000 males)",986.0,,
Assam,AS,Hojai,4,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1017.0,,
Assam,AS,Hojai,5,5. Children under age 5 years whose birth was registered with the civil authority (%),98.7,,
Assam,AS,Hojai,6,6. Deaths in the last 3 years registered with the civil authority (%),79.7,,
Assam,AS,Hojai,7,7. Population living in households with electricity (%),96.3,,
Assam,AS,Hojai,8,8. Population living in households with an improved drinking-water source1 (%),99.9,,
Assam,AS,Hojai,9,9. Population living in households that use an improved sanitation facility2 (%),63.1,,
Assam,AS,Hojai,10,10. Households using clean fuel for cooking3 (%),52.0,,
Assam,AS,Hojai,11,11. Households using iodized salt (%),98.9,,
Assam,AS,Hojai,12,12. Households with any usual member covered under a health insurance/financing scheme (%),67.4,,
Assam,AS,Hojai,13,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.7,,
Assam,AS,Hojai,14,14. Women who are literate4 (%),83.2,,
Assam,AS,Hojai,15,15. Women with 10 or more years of schooling (%),23.1,,
Assam,AS,Hojai,16,16. Women age 20-24 years married before age 18 years (%),30.9,,
Assam,AS,Hojai,17,17. Births in the 5 years preceding the survey that are third or higher order (%),1.2,,
Assam,AS,Hojai,18,18. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),15.6,,
Assam,AS,Hojai,19,19. Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),64.6,,
Assam,AS,Hojai,20,20. Any method6 (%),61.1,,
Assam,AS,Hojai,21,21. Any modern method6 (%),48.2,,
Assam,AS,Hojai,22,22. Female sterilization (%),4.3,,
Assam,AS,Hojai,23,23. Male sterilization (%),0.1,,
Assam,AS,Hojai,24,24. IUD/PPIUD (%),1.2,,
Assam,AS,Hojai,25,25. Pill (%),37.2,,
Assam,AS,Hojai,26,26. Condom (%),4.9,,
Assam,AS,Hojai,27,27. Injectables (%),0.0,,
Assam,AS,Hojai,28,28. Total unmet need7 (%),13.2,,
Assam,AS,Hojai,29,29. Unmet need for spacing7 (%),4.9,,
Assam,AS,Hojai,30,30. Health worker ever talked to female non-users about family planning (%),21.7,,
Assam,AS,Hojai,31,31. Current users ever told about side effects of current method8 (%),73.5,,
Assam,AS,Hojai,32,32. Mothers who had an antenatal check-up in the first trimester (%),52.7,,
Assam,AS,Hojai,33,33. Mothers who had at least 4 antenatal care visits (%),51.3,,
Assam,AS,Hojai,34,34. Mothers whose last birth was protected against neonatal tetanus9 (%),96.2,,
Assam,AS,Hojai,35,35. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.5,,
Assam,AS,Hojai,36,36. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.0,,
Assam,AS,Hojai,37,37. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.3,,
Assam,AS,Hojai,38,38. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),63.9,,
Assam,AS,Hojai,39,39. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),5299.0,,
Assam,AS,Hojai,40,40. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,,
Assam,AS,Hojai,41,41. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),68.4,,
Assam,AS,Hojai,42,42. Institutional births (%),82.1,,
Assam,AS,Hojai,43,43. Institutional births in public facility (%),59.4,,
Assam,AS,Hojai,44,44. Home births that were conducted by skilled health personnel10 (%),4.1,,
Assam,AS,Hojai,45,45. Births attended by skilled health personnel10 (%),83.5,,
Assam,AS,Hojai,46,46. Births delivered by caesarean section (%),18.4,,
Assam,AS,Hojai,47,47. Births in a private health facility that were delivered by caesarean section (%),51.6,,
Assam,AS,Hojai,48,48. Births in a public health facility that were delivered by caesarean section (%),11.2,,
Assam,AS,Hojai,49,49. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),55.5,,
Assam,AS,Hojai,50,50. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),63.6,,
Assam,AS,Hojai,51,51. Children age 12-23 months who have received BCG (%),82.1,,
Assam,AS,Hojai,52,52. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),60.9,,
Assam,AS,Hojai,53,53. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),60.8,,
Assam,AS,Hojai,54,54. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),59.3,,
Assam,AS,Hojai,55,55. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),14.6,,
Assam,AS,Hojai,56,56. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),41.4,,
Assam,AS,Hojai,57,57. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),55.6,,
Assam,AS,Hojai,58,58. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),52.1,,
Assam,AS,Hojai,59,59. Children age 12-23 months who received most of their vaccinations in a public health facility (%),86.4,,
Assam,AS,Hojai,60,60. Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.8,,
Assam,AS,Hojai,61,61. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.4,,
Assam,AS,Hojai,62,62. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,,
Assam,AS,Hojai,63,63. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,,
Assam,AS,Hojai,64,64. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,,
Assam,AS,Hojai,65,65. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4,,
Assam,AS,Hojai,66,66. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),44.7,,
Assam,AS,Hojai,67,67. Children under age 3 years breastfed within one hour of birth15 (%),54.9,,
Assam,AS,Hojai,68,68. Children under age 6 months exclusively breastfed16 (%),64.3,,
Assam,AS,Hojai,69,69. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,,
Assam,AS,Hojai,70,"70. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",2.8,,
Assam,AS,Hojai,71,"71. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,,
Assam,AS,Hojai,72,"72. Total children age 6-23 months receiving an adequate diet16, 17  (%)",2.7,,
Assam,AS,Hojai,73,73. Children under 5 years who are stunted (height-for-age)18 (%),39.3,,
Assam,AS,Hojai,74,74. Children under 5 years who are wasted (weight-for-height)18 (%),12.7,,
Assam,AS,Hojai,75,75. Children under 5 years who are severely wasted (weight-for-height)19 (%),4.6,,
Assam,AS,Hojai,76,76. Children under 5 years who are underweight (weight-for-age)18 (%),28.4,,
Assam,AS,Hojai,77,77. Children under 5 years who are overweight (weight-for-height)20 (%),6.0,,
Assam,AS,Hojai,78,78. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),19.3,,
Assam,AS,Hojai,79,79. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),20.1,,
Assam,AS,Hojai,80,80. Women who have high risk waist-to-hip ratio (≥0.85) (%),69.6,,
Assam,AS,Hojai,81,81. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),56.8,,
Assam,AS,Hojai,82,82. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),56.6,,
Assam,AS,Hojai,83,83. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),51.4,,
Assam,AS,Hojai,84,84. All women age 15-49 years who are anaemic22 (%),56.3,,
Assam,AS,Hojai,85,85. All women age 15-19 years who are anaemic22 (%),54.3,,
Assam,AS,Hojai,86,86. Blood sugar level - high (141-160 mg/dl)23 (%),6.3,,
Assam,AS,Hojai,87,87. Blood sugar level - very high (>160 mg/dl)23 (%),7.5,,
Assam,AS,Hojai,88,88. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),14.6,,
